date,price
2011-09-08,379.48
2011-09-09,379.48
2011-09-13,378.00
2011-09-14,378.00
2011-09-15,378.00
2011-09-16,365.88
2011-09-19,380.44
2011-09-20,370.05
2011-09-21,375.00
2011-09-22,375.00
2011-09-23,356.26
2011-09-26,356.26
2011-09-27,343.84
2011-09-28,337.00
2011-09-29,330.50
2011-09-30,335.00
2011-10-10,335.00
2011-10-11,335.00
2011-10-12,335.00
2011-10-13,335.00
2011-10-14,335.00
2011-10-17,335.00
2011-10-18,341.09
2011-10-19,341.99
2011-10-20,331.05
2011-10-21,335.50
2011-10-24,341.20
2011-10-25,346.25
2011-10-26,358.80
2011-10-27,358.30
2011-10-28,355.12
2011-10-31,353.00
2011-11-01,354.35
2011-11-02,354.35
2011-11-03,354.35
2011-11-04,354.35
2011-11-07,354.35
2011-11-08,354.35
2011-11-09,354.35
2011-11-10,354.35
2011-11-11,354.35
2011-11-14,354.35
2011-11-15,354.35
2011-11-16,362.47
2011-11-17,362.25
2011-11-18,354.07
2011-11-21,354.31
2011-11-22,347.87
2011-11-23,352.55
2011-11-24,349.50
2011-11-25,347.99
2011-11-28,353.03
2011-11-29,354.44
2011-11-30,357.99
2011-12-01,359.00
2011-12-02,358.82
2011-12-05,359.58
2011-12-06,353.00
2011-12-07,354.50
2011-12-08,355.70
2011-12-09,350.00
2011-12-12,346.00
2011-12-13,341.00
2011-12-14,338.00
2011-12-15,329.00
2011-12-16,327.02
2011-12-19,330.22
2011-12-20,329.60
2011-12-21,333.69
2011-12-22,330.66
2011-12-23,330.00
2011-12-26,328.00
2011-12-27,326.81
2011-12-28,324.82
2011-12-29,320.46
2011-12-30,319.00
2012-01-04,319.00
2012-01-05,319.00
2012-01-06,334.60
2012-01-09,334.60
2012-01-10,336.00
2012-01-11,345.00
2012-01-12,345.37
2012-01-13,345.37
2012-01-16,336.00
2012-01-17,339.20
2012-01-18,338.68
2012-01-19,338.99
2012-01-20,338.00
2012-01-30,353.79
2012-01-31,351.52
2012-02-01,351.00
2012-02-02,351.00
2012-02-03,353.00
2012-02-06,353.00
2012-02-07,353.00
2012-02-08,353.00
2012-02-09,353.00
2012-02-10,353.00
2012-02-13,353.00
2012-02-14,353.00
2012-02-15,353.00
2012-02-16,351.35
2012-02-17,353.63
2012-02-20,354.30
2012-02-21,355.98
2012-02-22,357.30
2012-02-23,362.29
2012-02-24,362.01
2012-02-27,360.75
2012-02-28,363.00
2012-02-29,363.19
2012-03-01,355.00
2012-03-02,355.00
2012-03-05,351.01
2012-03-06,350.50
2012-03-07,346.50
2012-03-08,346.50
2012-03-09,350.00
2012-03-12,350.00
2012-03-13,349.60
2012-03-14,349.60
2012-03-15,349.60
2012-03-16,344.44
2012-03-19,342.29
2012-03-20,342.29
2012-03-21,341.00
2012-03-22,341.90
2012-03-23,341.90
2012-03-26,341.50
2012-03-27,345.50
2012-03-28,343.00
2012-03-29,339.00
2012-03-30,343.00
2012-04-05,343.00
2012-04-06,343.00
2012-04-09,344.51
2012-04-10,337.50
2012-04-11,337.50
2012-04-12,338.50
2012-04-13,342.98
2012-04-16,337.80
2012-04-17,335.62
2012-04-18,338.00
2012-04-19,335.12
2012-04-20,335.12
2012-04-23,336.00
2012-04-24,334.99
2012-04-25,336.00
2012-04-26,336.43
2012-04-27,338.35
2012-05-02,338.35
2012-05-03,336.50
2012-05-04,336.50
2012-05-07,336.50
2012-05-08,336.50
2012-05-09,336.50
2012-05-10,336.50
2012-05-11,336.50
2012-05-14,330.00
2012-05-15,330.00
2012-05-16,313.13
2012-05-17,317.03
2012-05-18,322.50
2012-05-21,326.69
2012-05-22,324.70
2012-05-23,319.26
2012-05-24,320.73
2012-05-25,320.53
2012-05-28,324.44
2012-05-29,323.21
2012-05-30,318.30
2012-05-31,311.00
2012-06-01,319.20
2012-06-04,332.92
2012-06-05,332.21
2012-06-06,332.05
2012-06-07,331.00
2012-06-08,323.10
2012-06-11,323.67
2012-06-12,325.00
2012-06-13,328.70
2012-06-14,328.70
2012-06-15,328.70
2012-06-18,331.51
2012-06-19,333.00
2012-06-20,331.20
2012-06-21,331.20
2012-06-25,326.00
2012-06-26,324.97
2012-06-27,324.43
2012-06-28,324.43
2012-06-29,328.00
2012-07-02,328.00
2012-07-03,328.00
2012-07-04,328.00
2012-07-05,328.00
2012-07-06,330.00
2012-07-09,330.00
2012-07-10,330.00
2012-07-11,330.00
2012-07-12,330.00
2012-07-13,330.00
2012-07-16,330.00
2012-07-17,326.80
2012-07-18,326.80
2012-07-19,326.80
2012-07-20,326.80
2012-07-23,324.20
2012-07-24,324.20
2012-07-25,324.49
2012-07-26,327.79
2012-07-27,330.19
2012-07-30,331.70
2012-07-31,331.30
2012-08-01,329.50
2012-08-02,329.50
2012-08-03,325.50
2012-08-06,326.00
2012-08-07,326.00
2012-08-08,326.00
2012-08-09,326.00
2012-08-10,326.00
2012-08-13,326.00
2012-08-14,326.00
2012-08-15,326.00
2012-08-16,327.09
2012-08-17,330.26
2012-08-20,330.26
2012-08-21,331.46
2012-08-22,334.35
